prey,predator,prey_payoff,predator_payoff
D,D,1.0791684728,0.8590878006
N,N,1.1232079233,0.8235587985
P1,P1,1.1166802591,0.8409724570
D,M2,1.0350119242,0.8845491330
N,M2,1.0759466780,0.8383820734
N,P2,1.0966508738,0.8328047208
D,P2,1.0542260703,0.8765606062
N,M1,1.0863268528,0.8369316493
D,M1,1.1138979885,0.8479670714
D,P1,1.1075135569,0.8502420034
P1,D,0.9881131410,0.8802284043
P1,N,1.1426103388,0.8356406376
N,P1,1.0659693038,0.8423707886
D,N,1.0386266280,0.8859475232
N,D,1.0346176796,0.8501574609
P1,P2,1.0099504955,0.8845664917
P1,M2,1.0139578969,0.8812173664
P1,M1,1.1323537329,0.8361635436
P2,P2,1.1103908473,0.8328100990
P2,D,1.0782137725,0.8413901912
M1,M1,1.1142693171,0.8365869153
P2,N,1.1109562798,0.8351683380
M1,P1,1.0912558433,0.8438206924
P2,M2,1.0870269417,0.8401899253
M1,N,1.1257346225,0.8346438553
M1,D,0.9763055861,0.8802332730
P2,M1,1.1137226203,0.8309289021
M1,P2,1.0146662528,0.8765182304
M2,D,1.0914456871,0.8413813505
M2,N,1.1288645936,0.8357343354
P2,P1,1.1010035243,0.8348491509
M1,M2,1.0254985318,0.8696570863
M2,M2,1.1127821373,0.8372134439
M2,P1,1.1185490691,0.8345680682
M2,P2,1.1286450860,0.8323317945
M2,M1,1.1252467593,0.8326921677
