round,species,regime,share_before,percentage_before,initial_mass,final_mass,mass_change,payoff
18,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008165317690078673,-0.0018346823099213254,0.9245124629483332
18,predator,N,0.28,28.000000000000004,0.28,0.21871222828953402,-0.06128777171046601,0.9665685703783149
18,predator,P1,0.6799999999999999,68.0,0.6799999999999998,0.5425459678488859,-0.13745403215111396,0.9585715913978741
18,predator,P2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.007951042649694989,-0.0020489573503050095,0.952262140995159
18,predator,M1,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.007970425748260427,-0.002029574251739571,0.9499490299859908
18,predator,M2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.007963726917105927,-0.0020362730828940717,0.9572233933196375
19,prey,D,0.95,95.0,0.9499999999999996,1.104553307058884,0.15455330705888437,0.9590325011927268
19,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011431849561487744,0.0014318495614877424,0.9824957061348613
19,prey,P1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011501034638515423,0.0015010346385154211,0.9757857248861991
19,prey,P2,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011596367159643248,0.0015963671596432461,0.9701400637167977
19,prey,M1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011408505349600103,0.0014085053496001015,0.9791102638577891
19,prey,M2,0.010000000000000009,1.0000000000000009,0.01000000000000001,0.011603090431650994,0.0016030904316509838,0.9668676724438844
19,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008252454238796862,-0.0017475457612031366,0.9337066386884576
19,predator,N,0.38,38.0,0.38,0.29718799957606684,-0.08281200042393316,0.9567131911874068
19,predator,P1,0.58,57.99999999999999,0.58,0.46674737857609616,-0.1132526214239038,0.9624582146577914
19,predator,P2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.00802567439288739,-0.001974325607112609,0.9541712085553303
