prey,predator,prey_payoff,predator_payoff
D,D,1.1167991065,0.8460605093
N,N,1.1072093672,0.8280507727
P1,P1,1.1167310183,0.8411462154
N,M2,1.0888515229,0.8317617720
D,M2,1.0990411284,0.8543164942
D,P2,1.1149734353,0.8486012871
P1,D,1.0759492806,0.8534017525
D,P1,1.0736791548,0.8621853167
D,M1,1.0842313192,0.8583307215
N,P1,1.0798114834,0.8353371929
N,M1,1.0858685283,0.8353429158
P1,N,1.1486563653,0.8314074409
N,P2,1.0960118129,0.8314663340
D,N,1.0921902926,0.8578051959
N,D,1.0630584418,0.8396617126
P1,P2,1.1408134918,0.8341737336
P1,M1,1.1271671086,0.8381865565
P1,M2,1.1217581182,0.8400835732
P2,P2,1.1113954477,0.8325738684
P2,D,1.0803426139,0.8409309253
M1,M1,1.1152442992,0.8364761046
M1,D,1.0629967506,0.8534462007
P2,M2,1.0729183588,0.8445715449
P2,N,1.1179514890,0.8305863809
M1,P1,1.0777821845,0.8479680687
M1,N,1.1319650230,0.8303688571
P2,M1,1.0835797098,0.8413838561
M1,P2,1.1222522656,0.8346541941
M2,D,1.0938606806,0.8408241908
P2,P1,1.0640641878,0.8472941516
M2,N,1.1348580096,0.8314982451
M1,M2,1.0790937616,0.8473698751
M2,M2,1.1128515640,0.8372725829
M2,P1,1.0874565544,0.8451532682
M2,P2,1.1239511537,0.8340891504
M2,M1,1.0826560420,0.8471718028
