Finished t_sunset=0.25, Matutinal 2, w=0.4
Finished t_sunset=0.25, Matutinal 2, w=0.5
Finished t_sunset=0.25, Matutinal 2, w=0.6
Finished t_sunset=0.25, Matutinal 2, w=0.7
Finished t_sunset=0.25, Matutinal 2, w=0.8
Finished t_sunset=0.25, Matutinal 2, w=1
Finished t_sunset=0.25, Matutinal 2, w=0.9
Finished t_sunset=0.5, Diurnal, w=0
Finished t_sunset=0.5, Diurnal, w=0.1
Finished t_sunset=0.5, Diurnal, w=0.2
Finished t_sunset=0.5, Diurnal, w=0.3
Finished t_sunset=0.5, Diurnal, w=0.4
Finished t_sunset=0.5, Diurnal, w=0.5
Finished t_sunset=0.5, Diurnal, w=0.6
Finished t_sunset=0.5, Diurnal, w=0.7
Finished t_sunset=0.5, Diurnal, w=0.8
Finished t_sunset=0.5, Diurnal, w=0.9
Finished t_sunset=0.5, Diurnal, w=1
Finished t_sunset=0.5, Nocturnal, w=0
Finished t_sunset=0.5, Nocturnal, w=0.1
Finished t_sunset=0.5, Nocturnal, w=0.2
Finished t_sunset=0.5, Nocturnal, w=0.3
Finished t_sunset=0.5, Nocturnal, w=0.4
Finished t_sunset=0.5, Nocturnal, w=0.5
Finished t_sunset=0.5, Nocturnal, w=0.6
Finished t_sunset=0.5, Nocturnal, w=0.7
Finished t_sunset=0.5, Nocturnal, w=0.8
Finished t_sunset=0.5, Nocturnal, w=1
Finished t_sunset=0.5, Nocturnal, w=0.9
Finished t_sunset=0.5, Polyphasic 1, w=0
Finished t_sunset=0.5, Polyphasic 1, w=0.1
Finished t_sunset=0.5, Polyphasic 1, w=0.2
Finished t_sunset=0.5, Polyphasic 1, w=0.3
Finished t_sunset=0.5, Polyphasic 1, w=0.4
Finished t_sunset=0.5, Polyphasic 1, w=0.5
Finished t_sunset=0.5, Polyphasic 1, w=0.6
Finished t_sunset=0.5, Polyphasic 1, w=0.7
Finished t_sunset=0.5, Polyphasic 1, w=0.8
Finished t_sunset=0.5, Polyphasic 1, w=0.9
Finished t_sunset=0.5, Polyphasic 1, w=1
Finished t_sunset=0.5, Polyphasic 2, w=0
Finished t_sunset=0.5, Polyphasic 2, w=0.1
Finished t_sunset=0.5, Polyphasic 2, w=0.2
Finished t_sunset=0.5, Polyphasic 2, w=0.3
Finished t_sunset=0.5, Polyphasic 2, w=0.4
Finished t_sunset=0.5, Polyphasic 2, w=0.5
Finished t_sunset=0.5, Polyphasic 2, w=0.6
Finished t_sunset=0.5, Polyphasic 2, w=0.7
Finished t_sunset=0.5, Polyphasic 2, w=0.8
Finished t_sunset=0.5, Polyphasic 2, w=0.9
Finished t_sunset=0.5, Polyphasic 2, w=1
Finished t_sunset=0.5, Matutinal 1, w=0
Finished t_sunset=0.5, Matutinal 1, w=0.1
Finished t_sunset=0.5, Matutinal 1, w=0.2
Finished t_sunset=0.5, Matutinal 1, w=0.3
Finished t_sunset=0.5, Matutinal 1, w=0.4
Finished t_sunset=0.5, Matutinal 1, w=0.5
Finished t_sunset=0.5, Matutinal 1, w=0.6
Finished t_sunset=0.5, Matutinal 1, w=0.7
Finished t_sunset=0.5, Matutinal 1, w=0.8
Finished t_sunset=0.5, Matutinal 1, w=0.9
Finished t_sunset=0.5, Matutinal 1, w=1
Finished t_sunset=0.5, Matutinal 2, w=0
Finished t_sunset=0.5, Matutinal 2, w=0.1
Finished t_sunset=0.5, Matutinal 2, w=0.2
Finished t_sunset=0.5, Matutinal 2, w=0.3
Finished t_sunset=0.5, Matutinal 2, w=0.4
Finished t_sunset=0.5, Matutinal 2, w=0.5
Finished t_sunset=0.5, Matutinal 2, w=0.6
Finished t_sunset=0.5, Matutinal 2, w=0.7
Finished t_sunset=0.5, Matutinal 2, w=0.8
Finished t_sunset=0.5, Matutinal 2, w=0.9
Finished t_sunset=0.5, Matutinal 2, w=1
Finished t_sunset=0.75, Diurnal, w=0
Finished t_sunset=0.75, Diurnal, w=0.1
Finished t_sunset=0.75, Diurnal, w=0.2
Finished t_sunset=0.75, Diurnal, w=0.3
Finished t_sunset=0.75, Diurnal, w=0.4
Finished t_sunset=0.75, Diurnal, w=0.5
Finished t_sunset=0.75, Diurnal, w=0.6
Finished t_sunset=0.75, Diurnal, w=0.7
Finished t_sunset=0.75, Diurnal, w=0.8
Finished t_sunset=0.75, Diurnal, w=0.9
Finished t_sunset=0.75, Diurnal, w=1
Finished t_sunset=0.75, Nocturnal, w=0
Finished t_sunset=0.75, Nocturnal, w=0.1
Finished t_sunset=0.75, Nocturnal, w=0.2
Finished t_sunset=0.75, Nocturnal, w=0.3
Finished t_sunset=0.75, Nocturnal, w=0.4
Finished t_sunset=0.75, Nocturnal, w=0.5
Finished t_sunset=0.75, Nocturnal, w=0.6
Finished t_sunset=0.75, Nocturnal, w=0.7
Finished t_sunset=0.75, Nocturnal, w=0.8
Finished t_sunset=0.75, Nocturnal, w=0.9
Finished t_sunset=0.75, Nocturnal, w=1
Finished t_sunset=0.75, Polyphasic 1, w=0
Finished t_sunset=0.75, Polyphasic 1, w=0.1
Finished t_sunset=0.75, Polyphasic 1, w=0.2
Finished t_sunset=0.75, Polyphasic 1, w=0.3
Finished t_sunset=0.75, Polyphasic 1, w=0.4
Finished t_sunset=0.75, Polyphasic 1, w=0.5
Finished t_sunset=0.75, Polyphasic 1, w=0.6
Finished t_sunset=0.75, Polyphasic 1, w=0.7
Finished t_sunset=0.75, Polyphasic 1, w=0.8
Finished t_sunset=0.75, Polyphasic 1, w=0.9
Finished t_sunset=0.75, Polyphasic 1, w=1
Finished t_sunset=0.75, Polyphasic 2, w=0
Finished t_sunset=0.75, Polyphasic 2, w=0.1
Finished t_sunset=0.75, Polyphasic 2, w=0.2
Finished t_sunset=0.75, Polyphasic 2, w=0.3
Finished t_sunset=0.75, Polyphasic 2, w=0.4
Finished t_sunset=0.75, Polyphasic 2, w=0.5
Finished t_sunset=0.75, Polyphasic 2, w=0.6
Finished t_sunset=0.75, Polyphasic 2, w=0.7
Finished t_sunset=0.75, Polyphasic 2, w=0.8
Finished t_sunset=0.75, Polyphasic 2, w=0.9
Finished t_sunset=0.75, Polyphasic 2, w=1
Finished t_sunset=0.75, Matutinal 1, w=0
Finished t_sunset=0.75, Matutinal 1, w=0.1
Finished t_sunset=0.75, Matutinal 1, w=0.2
Finished t_sunset=0.75, Matutinal 1, w=0.3
Finished t_sunset=0.75, Matutinal 1, w=0.4
Finished t_sunset=0.75, Matutinal 1, w=0.5
Finished t_sunset=0.75, Matutinal 1, w=0.6
Finished t_sunset=0.75, Matutinal 1, w=0.7
Finished t_sunset=0.75, Matutinal 1, w=0.8
Finished t_sunset=0.75, Matutinal 1, w=0.9
Finished t_sunset=0.75, Matutinal 1, w=1
Finished t_sunset=0.75, Matutinal 2, w=0
Finished t_sunset=0.75, Matutinal 2, w=0.1
Finished t_sunset=0.75, Matutinal 2, w=0.2
Finished t_sunset=0.75, Matutinal 2, w=0.3
Finished t_sunset=0.75, Matutinal 2, w=0.4
Finished t_sunset=0.75, Matutinal 2, w=0.5
Finished t_sunset=0.75, Matutinal 2, w=0.6
Finished t_sunset=0.75, Matutinal 2, w=0.7
Finished t_sunset=0.75, Matutinal 2, w=0.8
Finished t_sunset=0.75, Matutinal 2, w=0.9
Finished t_sunset=0.75, Matutinal 2, w=1
Finished t_sunset=1, Diurnal, w=0
Finished t_sunset=1, Diurnal, w=0.1
Finished t_sunset=1, Diurnal, w=0.2
Finished t_sunset=1, Diurnal, w=0.3
Finished t_sunset=1, Diurnal, w=0.4
Finished t_sunset=1, Diurnal, w=0.5
Finished t_sunset=1, Diurnal, w=0.6
Finished t_sunset=1, Diurnal, w=0.7
Finished t_sunset=1, Diurnal, w=0.8
Finished t_sunset=1, Diurnal, w=0.9
Finished t_sunset=1, Diurnal, w=1
Finished t_sunset=1, Nocturnal, w=0
Finished t_sunset=1, Nocturnal, w=0.1
Finished t_sunset=1, Nocturnal, w=0.2
Finished t_sunset=1, Nocturnal, w=0.3
Finished t_sunset=1, Nocturnal, w=0.4
Finished t_sunset=1, Nocturnal, w=0.5
Finished t_sunset=1, Nocturnal, w=0.6
Finished t_sunset=1, Nocturnal, w=0.7
Finished t_sunset=1, Nocturnal, w=0.9
Finished t_sunset=1, Nocturnal, w=0.8
Finished t_sunset=1, Nocturnal, w=1
Finished t_sunset=1, Polyphasic 1, w=0
Finished t_sunset=1, Polyphasic 1, w=0.1
Finished t_sunset=1, Polyphasic 1, w=0.2
Finished t_sunset=1, Polyphasic 1, w=0.3
Finished t_sunset=1, Polyphasic 1, w=0.4
Finished t_sunset=1, Polyphasic 1, w=0.5
Finished t_sunset=1, Polyphasic 1, w=0.6
Finished t_sunset=1, Polyphasic 1, w=0.7
Finished t_sunset=1, Polyphasic 1, w=0.8
Finished t_sunset=1, Polyphasic 1, w=0.9
Finished t_sunset=1, Polyphasic 2, w=0
Finished t_sunset=1, Polyphasic 1, w=1
Finished t_sunset=1, Polyphasic 2, w=0.1
Finished t_sunset=1, Polyphasic 2, w=0.2
Finished t_sunset=1, Polyphasic 2, w=0.3
Finished t_sunset=1, Polyphasic 2, w=0.4
Finished t_sunset=1, Polyphasic 2, w=0.5
Finished t_sunset=1, Polyphasic 2, w=0.7
Finished t_sunset=1, Polyphasic 2, w=0.8
Finished t_sunset=1, Polyphasic 2, w=0.6
Finished t_sunset=1, Polyphasic 2, w=0.9
Finished t_sunset=1, Polyphasic 2, w=1
Finished t_sunset=1, Matutinal 1, w=0
Finished t_sunset=1, Matutinal 1, w=0.1
Finished t_sunset=1, Matutinal 1, w=0.2
Finished t_sunset=1, Matutinal 1, w=0.3
Finished t_sunset=1, Matutinal 1, w=0.4
Finished t_sunset=1, Matutinal 1, w=0.5
